user_id,name,review_count,average_stars
fCMxArYY8wSWxKuM27azrg,Michelle,164,3.99
CUmUCdczdg2vZHdlJ3safw,Todd,31,4.25
7PHHxsjyk7I7oM6ENxwZZQ,Adam,1095,4.48
B_T4fv0GlGcZLDpchBX-0g,Nicole,650,3.91
rtl1e2FVr67mPulZFxrkbQ,Nathan,321,3.93
X5cUYGLWiauXk3C7h1GMfg,Liza,18,4.44
VFXKRVzEMbnsDcYFdwiiuA,Kent,1072,3.35
RODUc87UULC1p67gAeR1xw,Shaka,116,3.58
XgodmqFjRvbCG3nfLOKFvg,Mae,184,3.7
CvZGAp4Q2QgJbYqLG1Fetw,Mateo,235,3.82
86EB3KT3H-Eyc7sl_WsUkQ,Stacey,29,3.79
7lKzYA3pZWxpnTFRNpPCFA,Antony,49,3.02
8nCJfTcDv2qDW0HkGQpOPQ,Sam,48,3.77
5BpJEC8YVi80ecWT5CtlfQ,Jenny,2739,3.62
L8PRZYJ-Xpux56ChOAqgZA,Sarah,647,3.92
WWnhqRnWWjutMqh-2SzEuQ,Steph,3960,4.23
0QdwQLVxZpgy9Qb2Qakflw,Jim,774,4.07
OSzSzIxLnTQ1tsAwoDoQqg,Ivy,262,4.2
HFECrzYDpgbS5EmTBtj2zQ,Eric,5887,3.94
v7gsMsxQrQlQ4-JCefu4gg,John,1167,4.0
FVbtQgcCmWmQ-D6IR5BfZg,Jessica,911,3.67
nPBzbwWR6ioHRONgsfsTTQ,Navin,267,3.95
F6hz6UdboHgJ8DLUGCFXvg,Andrew,27,4.52
QmYOI_SAzelAxRTgOcYLyQ,Jeff,237,3.47
So46aZ3y7zRl2VmFK35vCQ,Shelly,402,3.42
rDORGCGHV984OBXwqu2FYQ,belinda,436,4.37
rlDDkE6G-nMO-z0hNqekzA,Brad,1403,3.93
h6RctdQAXQu8drV28iv29g,Angus,143,2.94
o4tYl3Hz0oDfpNn4k02DCw,Sandy,1708,4.01
dTiuUeT2c7-JcA_ta3TC7g,Rick,87,3.12
76ew8CgYNfC6NY2deluWsA,Austin,31,4.61
fFvCQoOEb4IW-FqpTO2Z-A,Vivian,88,3.78
KD1cLBiElr-agbHlgEh-3A,Paula,65,3.85
ZIOCmdFaMIF56FR-nWr_2A,Randy,3315,3.77
-PfB5lPsUgrulIGQ_u6JWQ,Tom,51,3.96
UZ6YOaTiZ1lTZWKASIkVuA,Michie,175,3.99
afPIUwUh0C_lgHvt77cneg,Adrienne,1000,4.23
YdoiyM2IeN4ymZOKA156HA,Yaj,233,4.11
xOlQ8ZLzlhnMYtfda9zUKg,Jean,454,3.79
nmqX1cxPOYHwql5e4U9LuA,Michelle,1028,3.98
GURfFLpdIsJiIrtPPs8MDw,Mandi,123,4.23
NVndhVfffw7ScRKviRdRYw,Sam,757,3.93
9uTysypqImdsxJDlBXz_Ag,Bethany,100,3.15
qg3dkjWE7TWGnCQuyFPhtA,Jay,255,3.83
hqSXx-zbBvnWW7akjPhZNg,Michelle,887,3.83
S7Go9U1I_OB_HGZzKNMJ3A,Steph,513,4.18
rrRZ2TubdRzkAksCwzHtvA,Danielle,766,3.1
oH9K7eCuNsYr6MmlM2ZjUg,Bo,1465,3.88
DHktJ_qApuCwKe_nGR2x4Q,Elysha,14,4.87
2Gy7OX3zFVfNeeHLhmpzJw,Marian,576,3.87
SsgDGJWBNvefjY0z8XsVCQ,Kislev,2349,4.2
4MHFQcFfHzVe4ISx3lvHlw,Christina,991,3.82
soj3EaoFAhGqWgzGlfTTtg,Mark,552,4.33
xP9-tpvS1wPNJ23cIZGmdw,Julia,741,3.82
sjWvk3DZapZ-9ULAFtDmYw,Fred,419,3.41
DeDvAzbCIPaXQlor2LctVA,Amy,308,3.84
SSD26yoDiBSSITalN3In7g,Sandy,97,3.25
M5CDadStKmQxLJPTBGBf0Q,Marissa,488,4.01
NOKGADhE0dtzEbpbIhGowA,Lucy,1004,3.46
M5yMLMPNhCgB6EzqN8Q5EA,Avon,190,3.85
FKgF0La2egQdGl8vzmC5Pg,Paul,373,3.68
OLOCVi0PqJUdpUuIj4i70g,Nick,178,3.73
0wpzTHitiT-wHoxqXLRTvQ,Nana,206,3.89
2orGLHUP7_R-toDvEffndw,Laura,246,3.83
0qQI-n_ZfrwBewAgr1Nt8g,Jenny,1320,3.75
THE2FJCXhH4F9DRUzWUbUA,Regina,221,3.69
vcwXkjGaQc9FJOm8mFfFow,Sonj,1095,3.74
sIz02nAyQIrDtFavxZtfTQ,Robin,727,3.8
8GYea6Yw_ALcAVskOV77Ug,Steve,10,4.8
Z0yHptbS93271s_h6LJOMw,Alice,1435,3.32
dRZ0gVGH0EpRKgTu4wpwcQ,Ryan,347,3.42
fP5-u5yZ683B0Mdd7Zjb6A,Toni,881,3.48
rTB2UhWGpsLMQo5kCzX39A,Brian,753,3.41
BQQm7tybQj_bEYIsPL1cCg,J. Francisco,219,4.01
jW2ksV1oL1h_4CPIbPe2lg,Morgan,297,3.17
NjuPidqqsNW9KG8PBPrycg,Dani,85,4.03
iGwsuVEcvX-MB6zB61AYWA,Sarah,235,3.45
lufa4bHQd3XLYQE1zXis0g,Lisa,2007,3.35
FCGCxiXBrj1p_8cscTeQXg,Mimi,787,3.44
kS1MQHYwIfD0462PE61IBw,Rob,5511,3.84
pppfSeoqsmurCqdKS-13xA,Jamie,56,3.91
Zi3Fm08v1sTMn4rktxci4g,Debby,194,4.31
PLM6psqBZ1Gg3v6SunxCQg,Cara,57,3.05
igll2PdsMvQHzJhzttrx1A,Jessica,713,4.08
igIifRLStEi3p4rb18KszQ,Jenny,174,3.68
GlRCa245sIgcdCKId1bFPg,Angelina,54,4.09
dbb70RnMVbkwQcNnUr7Fug,Rachel,572,3.89
FasNCo26SxBqncV3nX2-mQ,Lauren,353,4.22
ycxhO7bkvwmcl3vSJiKqyQ,Marlon,17,4.1
JSukkufethSwEr-FGE3HKA,Anita,1050,3.75
_PwRWR_Bi6ZTZfpJYAbQQA,Ryan,147,3.9
4OgPAPL0zCXmdmV5_oe3vQ,Julie,1225,3.83
s0fW72nK1QZba9-R1sf5xQ,Mark,76,3.67
pILwv96yeZsmUjglRsSuDw,David,860,3.79
NP-675YVy9URhNmdQdnWsQ,Lisa,1066,3.56
syrsu7q3DYcZCYKZqRM63w,Eva,582,3.99
TgCLIZJnI4k0KFgt6hGQeg,Dave,602,3.99
jzqLpVkB1rg9AssLKm7lvw,Wendy,671,3.96
LOi1qbpl2hTP0cwSDDuyBQ,Shirley,1630,3.71
WGDlDc6K3zYRgEZSJlqYCw,Liza,129,4.18
eLHsnsI2YDuGwIdFqYFhnA,Dan,649,3.89
sMRucNvjaoSrvo6Jo5yjhA,Sarah,1110,3.46
KFZISl5mOUJ6bu3qCUrO-g,Dru,1069,3.53
ae6Q3-5gsfiuzXWlJ_DNFA,Sambhav,12,2.0
aYM006S1U0VwX9ZTjR3KQg,Kevin,555,3.46
xd2VcBI0z39mLk8eOhGaWw,Sheen,62,4.22
O1eFTbVTzpuMCOVKXLTyvw,Calvin,569,3.94
zL_GY1IyrdmLCk1ldcbAlw,Avi,201,3.82
UpueMDfEfFaxfYcUlPCZhw,SiBelle,25,4.46
Vjj_3CF0_Nwtj3XW7r3XWg,Matt,439,3.71
bDPLmX6jmJXHn0KS2Z6ENA,Tien,133,2.94
tzCNZD_I-46eSHGpf3b9mQ,Celia,482,3.81
akVV8m8TdYgTrHw1PTsoaA,Yvette,148,4.39
gh_RvEPwTMj5OXp8j9uePw,Sal,149,2.6
Jv_-hDAqAokmnVTVNLuNvg,Rob,5,3.2
Z5wSVJOY5ibn5SjxmnVwSg,Nelson,73,4.83
6FoxeLb7cx06bT5WMU82zQ,Natalie,76,4.08
LcBZt_bpU5CqwtDJwB3OCg,Lily,509,3.36
a19tRkiGNa2XD3bazeMjDg,Diana,76,3.03
buc5aSOSBM87v-6ugWEQiQ,Huong,97,3.47
GXn4ZsasLKh0qZ5g3nIqcQ,Michael,631,3.83
g_6QIWOCYV3fHWeC2rRPmw,Aboud,617,3.27
1vHp6NVqzLzW9QWQA0Ti3w,Zam,44,4.41
QDu9DqyixCNXXxnbNV4qqQ,Debbie,98,3.97
iY94n6Q_aWhj9cfcx9Ndfw,Sal,152,3.5
-K2Tcgh2EKX6e6HqqIrBIQ,.Hon,1274,3.12
gSNYcNNzeSstbK8Ew1uo8A,Aurora,100,3.55
j0Shp7LADIKu9SBh82sFWQ,Xiu,254,3.58
lLi9S_R99sfrLNy2H7idBg,Angela,341,3.88
UmBhB9T1lsIFFdKkrerj9Q,Steve,389,3.94
_DLq7hI7hFOSezVP816HYA,Brig,125,4.6
KxGeqg5ccByhaZfQRI4Nnw,Ken,966,4.04
nabJKapjKahYfTtnBDG6JQ,Kinga,657,3.93
v1QFG6siw9c1tEUeFiQXKA,Eric,68,3.97
mGAgc73bhiO_xXvpLy2Org,Carol,1552,4.07
Z128ihQea7BLPh2T9q9sKA,Scott,750,3.48
IxLbsDFiypYCSytcayAF_w,Kristen,50,4.34
3JBLgCWcaZhTcL29OkgMyw,Wendy,186,3.85
FpZ5puti4IgNSUJAVzPntA,Ian,167,4.86
XZLw2jk-E5285PEjz383BA,Robert,59,4.0
kZnSGYEx0mLVGroGtZiXIA,Ms. Edna,772,4.15
es15UP55rfli8OTgYr7cZA,Mary,1848,3.87
iGHBKMkh9K_uZNw0BSsI4g,Justine,46,4.22
7ON-pEbPXzZ7dpMebSRzrg,Travis,433,3.51
ierqPx-n-6fr6gHF2gNUqQ,Christian,138,3.61
UZKXeTd5Ro-bb8KeVz53WQ,Brian,14,4.6
wMEw-gWMgKvrSa0KgysZGQ,Mark,36,4.03
qSQ0nB8GdTIl1c4B1GG8YA,Sunny,644,4.4
_8ulDsUe3rHKTd6ypnjExg,Jessica,40,4.02
PTmxRprtkgMtDTuHqb-7-A,Susanne,723,3.96
aSG487ly5s6VvfycKAOrKw,Nonno,30,4.0
L5OCs5ri6Wrtpfru5IGuaQ,Amanda,471,3.88
gMyktJcKTjxRp79AxcxcoA,Daniel,47,4.8
21-Jx9uKXPChF04aOd-z5Q,Jonathan,327,3.63
-qGhEJNg-8Y0GrQz5sQsew,Rossana,20,3.95
swptR9HtVBPA2FdtxWoyog,Dani,510,3.96
Inkxry_73bD4V5tnI943qA,D.,440,3.99
U-EeZXmw2PPJXVI6Dt86Gw,Carol,53,3.82
nzsv-p1O8gCfP3XijfQrIw,Anita,4157,3.46
faoJOuS4hWngiR-flR3Rwg,becky,150,3.57
wLh4YepDaBzQ1JMrj5fDzQ,Karen,931,4.07
JdhFhNibUCnlTzCgaeC9MA,Greg,103,4.0
cPcStFGBlk-6lWWsttIfVQ,Ee Vonn,2280,3.63
0eVKgGGxfLFTXYXDuJNa7A,Koko,133,3.99
aJ2brygzlsuU8zVGNnwhAg,Keith,133,3.86
zmjw1RWzkvs8iC0GkPE8ZA,Austin,17,3.94
z7H6YxV7ZE7V1gX5KnuKkw,anni,353,3.38
_O8i06dJM4NTIVHy26bjuQ,Trish,76,3.62
ShNLdJa5lxOaHKhUjtfnSw,Janet,618,3.94
LgpqJITXdSAfGq88R4YeKQ,Greg,678,3.07
LpnrjmrUDyQvZodldeN_PQ,Sandee,1105,3.58
ajiBmXVNJ9FFUKMIJRSh7g,Jenna,506,3.82
Tryp2o9m1-kP-chA7uy7vA,angie,108,4.03
Q-bBychImze2Yj1R0ifoMQ,Laura,834,4.04
ge_yqJd241NMPuyOS_J_LA,Priscilla,972,3.79
IHoKD2_gu6eN44v7a_VUlw,Benito,292,3.53
SD53Le5D_PE7pT-G8S9_Yw,Grace,30,4.29
XFTWw5OHnCKqFEvjMNGzZw,Neehone,229,4.0
SIpBqzGhRM7T5cDFiuIryg,Jason,673,4.38
Jndb3IoOrN-xj1QFxvKAcA,Darren,571,3.35
qqSkb1dAcnCB9lVkE8ZJSQ,Jerome,6,3.5
Ts349MFBYnc6Cw4BHQZz2A,Trang Ashley,267,4.51
noVeuKxMdnwDIDtZWn1ASg,Michael,57,3.92
jquMyA49hjarelcQF6JXzg,Jamie,109,3.87
UKZvKzck8oPxyOLTxPfpIA,Steven,348,4.09
Cbyn8gmXb38onqw1RzHZDQ,Vadim,184,3.78
f-T5A7YYbd_PaqiNkvVOtw,Christie,36,3.68
lYRS-yqT-N4IGSl6KbPldA,Vyda,35,3.2
RverJJOG5ZAjd8r33_MyHw,W,15,4.76
p4dved0OUoh-lKaXSTdCXA,Minh-An,1078,3.8
6S4Q_lQwStD_rBL_KedfiA,Crystal,69,3.93
sdnjNnQNpGB9OsX9fyJ0FQ,Phoebe,1228,3.61
gv28x4ugM5FHGI_Jkky4kg,Chelly,203,3.1
aMOQUtikM2CzotY9-FqkDg,Nehal,184,3.86
fyAq5O2XEp7ac656C1iMVw,Matt,113,4.04
sFogOtUYxNCQpAx4mTI2Ew,Kelly,62,3.52
8QAuY_XnWq9WbW0lYI7Vjg,Rajan,73,3.19
DSCOtFf8qdFymOtNYH6EhQ,Xtal,258,3.85
VjrVPH4Gls_cQKurMJx5-w,Paul,77,4.2
3JgcaZf9MLt4Q5hbZ6Pwxw,Kaylin,903,3.78
ug2vTCuxIEnFir-r5FIa_Q,Laurence,435,3.48
3jjiY5D7oIlKeiCIZGHQew,Nida,704,3.9
MGIfvuAcgbUtRnhWa_Jm2g,Marco,97,3.12
ms7gg62p6gEfc6-YHNaebQ,Annie,1118,3.95
ePZ7I1kKl9n3QjfaSmCK1Q,Julio,63,4.24
-8EnCioUmDygAbsYZmTeRQ,Mimi,1568,4.14
-zsbL7MqauI6roiC7YPJpA,jessica,91,4.24
19oQHQLnqxoUpLT9RpeBwQ,Cindy,30,3.83
aY3jbm7YqJsE4tTCpC7RKg,Scott,130,4.55
DDAXQSSEjYC5iDL7pjmjNw,Camille,87,4.35
S17pN9eBS4oJHCgAb626ow,Kristina,113,3.52
9X8pOvbWPSjJmW4Vgs-yKg,jeremy,14,4.2
ej4LXZp91X5RzPacP7mUbw,Bryant,59,4.62
yshBFBBZqkyGEUPBn1eSOg,Jerry,506,3.57
6r8qvMe_EbAqpiDJ4fKxOw,Kristen,27,4.62
GgsqX1GD0XrsZGEbqm584w,Crystal,99,3.42
jC-LuL1IEU8TJp342DmWKw,Ari,1151,3.65
LJGMZ0JMg3vpS_Zb00lvrg,Phil,62,4.08
crgWPc35LxjJccLFVQsQig,Caitlin,640,4.01
WE94VTazydfKb6A3VrUYRQ,Tracy,367,3.73
Bed7g8ep4e9K_1w6byhzwg,Madeleine,112,3.56
QYyCufvB24YiLAkUlwSAsQ,Pamlyn,138,3.7
uNuPyXHbbtHnhWhPLamESQ,Anna,754,4.02
SpPCjUqNWaT2yflt57hcFQ,Shooter,210,3.05
I6YARR1VloAua-buFULo1Q,Tanya,963,3.48
SIZOfo7jTjCXnL8ZtpM2aw,Lucy,1571,4.34
4Te5XClBnYg0MRiEjeSm8g,Wendy,426,3.78
8drMKNHWavs2g6uf0pLtvg,Charlene,1823,3.79
UcihR7SXobyx0jG-WqrmDA,Wendy,767,4.0
F28n26ynklEioZDInyK__A,Stacey,359,3.86
N_9QxHnLO-aaqa5Dsx9T0g,Laura,120,4.31
VK23WtXySCMEwGu4rD8GMA,Vivian,42,3.18
is5vAvanYvmF-28i9no2LQ,Janna,1568,3.66
5n_mA4dAZRG4vJfTJ-f7bA,Paul,161,3.54
faCVj55vHwWbcNaDgOxL3g,Anita,8,4.89
W83aZrDrYKwycCHB_eOYYg,Victoria,1024,4.08
dqmi2xTiY1CiDQB44NBMsA,Diana,124,3.7
ArKdqck5LF4YWgwew9W7Wg,Kahee,143,3.69
U-blmCm_qUbibUUgqDSB_g,Juan,2814,3.71
hlSfP6dWSTB0S_9nvZy9-w,Alex,15,4.47
86Oe8OA4QG2bGcsFek_C4A,Ian,1143,4.35
jGTVtLngutgbMbqmTYqtXg,Justin,54,4.63
cMlB7Qm5Wiq_U3cJ1-wlUQ,Aldo,77,3.86
qiEgqJetYtjDxLZ6HwDkhw,David,974,4.11
XsoKjYowvB4XEei-YRG7Yw,Hiro,444,4.18
eFBojqvl3lzJQIVsenmNDw,Beth,29,3.93
cZ16H_Fc3s2-2AYrs-LEJg,Tiana,576,3.4
kqFSSjiDHL6JnVc9YbTWkw,Justin,316,3.86
Mz3ZAFChRgBMgaaB5sJU_Q,Melissa,284,3.61
BGcA_Pw5LJ1u-mz-mlHFOw,Shawn,179,4.48
narHVcku3xja4pBRRIA00w,Daina,57,3.98
zvQ7B3KZuFOX7pYLsOxhpA,Ramona,2482,3.75
yPNaLXcrxC8Qo6EY4Pw27g,Ric,282,3.86
ZEaD4XiX4H3-oxebBjEsoQ,Ashley,290,3.57
53NQU3w_AASJLBY7dkMdfg,Raechel,1034,3.6
-nSGRbnOMbskWnc9kg3YCw,Hannah,7,4.57
NdHGV2JmZmhYG1tSCRwrBg,Casey,519,3.3
VdGROLLl2il5-gXmdKkUMQ,Daryl,698,3.19
nmdkHL2JKFx55T3nq5VziA,Nijole,8363,3.75
-mXobpJ3z3X6nMriCklbog,Robin,744,4.03
R5vTamscv3EimDC5vsyIIA,Penny,15,4.24
kW2dk1CWihmh3g7k9N2G8A,Shradha,2895,3.66
YuIsaNVDkhDzedIz-XevKQ,Carol,39,4.12
_id_cy6kweRsArTUny0XbQ,Sam,386,4.09
YZUNuWWIjt1yxN3FnjkH6g,Ken,446,3.51
mteJOlja359dj7XYQnKzCg,Jay,826,3.75
dpIju3tnaW66HMrprmeO_Q,Nicole,164,4.25
0tx2c_tQS-P4osULK_qtEQ,Christopher,16,4.63
CIT2QNZ_i4DGjTVz_SUieg,Gary,370,3.57
2IkRsN1wTPsd8SIKFFGRxQ,Girish,59,4.02
0tJNWu6aICRiUcHEczHQpw,Angie,275,3.99
cSKLV3CudAbHGW5GOHoRJQ,Greg,476,3.51
_CX6EUBVg_b7SaLWnQFn4w,Liz,8,5.0
pI44KNBxtO_BeYM8KVx9BQ,Liz,478,3.41
kpM7MEMEnuVcTv4yyPSZww,Zach,29,3.2
bURBDO2lgSrxnth2P7v3Gw,Craig,1559,4.21
8AnFGp4fzJV8Bhtx1KQ3bA,Christine,270,3.41
qCBpMV3FCUxE2xsyy8N6VA,Eric,49,3.98
3I1QFCr5LXL--CUMKQPkkw,Genie,89,3.81
wpr6gw4FnptTrk1CeT8POg,N,442,3.86
kKy2XrlFbQxtbukkFYMiPA,Michael,475,3.95
zlSsFP8bOUkflnXl91Xo1g,melissa,168,3.7
f7Q_2CMcE1jjqwmWwlP3tA,Joey,20,4.27
qwONwL783a0hvPQl2TVWjg,Anthony,613,3.55
lvsQfIx3LzlbxW0FVzmEKg,John,297,3.72
nPkTidQvXdVPZH7dgDWarw,Kay,707,3.75
GhnqHTT1vKkLc0Z1rGsQ1A,Trung,1090,3.63
VYXOtlwVd5pQQeLGCPhXOw,Evs,240,3.82
vGkha82V8Y9fog6iddlTQA,Cadence,247,3.21
qSzQAYPg87134iPasWOMxA,Antonio,508,4.12
TYg_pBjwDiATGn74NRY9Tg,Paula,22,4.43
4M-OczQXOKeTn1MSoxr1rg,Michelle,45,4.26
QlFMn3xECbC-vxe_rGSlsg,Ben,107,4.31
IxauDPL-r9_mAMrCnExZYA,Avigail,71,3.69
ziV4WP_am28MwNIBBaTztQ,Christophe,29,4.16
x1FY-UEpDW03M38xt8QFsQ,Evelyn,1098,4.05
RdGgH2C655oklnPT3oZJ0A,Erica,1372,3.7
SeeyLanTQASHqytvBHURHg,Ann,312,3.77
VMAIGoKrWNRB20N9HsVdKg,Patty,118,4.13
zbgP8acP_qBlC6qtddNQiA,Manami,426,3.79
iJQtNnEcrxdpaD132v26nQ,Danah,422,4.18
CGRkejdGiNtvX-lhcOFUZQ,Janet,1358,3.76
ma_kwB2BNIuOusarWrsBmw,Nina,84,3.76
II3SZQD1NE0zcN4fQqohug,Danny,61,3.39
lDKbTlZqjIn2gn490gU2HQ,Eva,1326,3.99
WLOtw7JOcPqwMe5uSS0i3w,Amanda,155,3.83
Dw5k44c-nkOexdaqUtcWCA,Janet,1217,3.67
LuijV0J5TEiQn7c4eW6ttg,George,658,4.22
OsGheYI1GkL9Tzvbj9NORw,Volunteer,53,4.04
ckA6PwJswcCLC_raud3XmA,June,259,3.66
l2IWzTJtrIlP_W9fHit1cA,Rae,136,3.57
dArzYnlZh0gBLjA6YkJeoQ,Isabel,1650,4.1
DICLJDdq0HpvOVYR5mB4gA,Eric,3231,3.73
qkreXL6AorI19QA3f2wvlQ,Vira,1363,3.97
_PogIvICTS-uaZLXLX-OnQ,Nicole,572,4.38
jv0KSBZkHoojy6RkIc5SIw,John,140,4.77
EobdQN6h-fniZWVQYB-bmQ,Melissa,67,4.01
6__GeBRtpat5jQ7yzj2iMw,Pritika,198,3.78
5poPB6sCWoNDoNlg70toeA,Ilysse,7,2.71
XwUbAu2GcnNtkQsjMc98kQ,Mr,77,2.8
LKp6eDLptctqyBGEDEp9hQ,Giselle,15,4.0
exDOIbSQ2S5hSwewrs1MVw,Elizabeth,431,3.96
O7OLR9n8MvPeJJtWXLJLLg,Tracy,445,3.82
L0hIDvoJUMNHSK_vEWGiFA,Richard,1162,4.03
kNxlninqmXRj7Hh0laNpjg,Beatrice,411,3.76
QFDfT_9I6r9xNWzCNzXRPg,Salma,206,3.87
j2sEA3hiUcwHfq9Ml6M47g,Michele,165,3.43
9YZV8W7IZe5ZXZp17xnjJQ,Albert,185,3.83
5D0XbEh3Em7os40vxzL-OQ,Grace,479,3.62
6Zx7YiKFYXwqWXQBqSxoYg,John,427,4.07
o6Khwbg6QEWjmhcBOuCqfg,Ben,386,3.96
WG0kTEJJNfT1egnunxpsvQ,Ticha,1920,3.86
vSaPxmnyq8X5Ai5e0n4kew,Melissa,202,4.16
h-vbGYrHyK0siGrT8KtV3A,Jay,50,4.18
8ykV0m0fgwzxJk1vzykqgg,Crystal,145,4.01
LEqV5RPgYgkOTnsiR1ynkQ,Frances,244,4.56
XdKMRUx0p5nE6CuR7E3s4Q,rochelle,10,3.7
6oJzbP6dqPYoaSuCNKaITw,Mike,1409,3.53
jr6GcEm_MSl7bXLClWyFyw,Steph,24,4.84
sP9H-NFl_fqvkQJ_Hxzt7Q,Teresa,73,3.65
PrHAdyBnG5A8QuWhyxkpXQ,David,77,3.73
-TIvi4-ch_SHe-5NhEesRg,Rob,128,3.77
0nxo6DJSL1PmROCItcycdg,GiselleLee,94,3.79
qHqfqFe2JM0kiu2RsAq0rg,Kris,25,4.88
_BHTC7nyCBoZcfiiD5cOXg,Gourmet,2098,3.96
-B-QEUESGWHPE_889WJaeg,Mark,1014,3.41
Kes4cahuh8LFbRfDT6eXzQ,Francine,20,3.23
2zmZafI29a-2aIgcgppi-A,Alisa,62,4.62
yP31wVmzN7dQWWHI47lU1g,Melissa,21,5.0
pWpp8CYczLtNzYh5_YbBfg,Dayn,11,4.27
wW6MGn02ivAWkjsfzQ4TLQ,Supergreen,93,3.19
DGh85anKBzRwD8Orbolfsg,Amy,121,3.54
A2JGzkvNjckSmps_4FbKWw,Holly,575,4.09
Crp1TUn_xcVwVtOqDoE_qQ,Kelly,202,3.86
GGGxD17Oubs29k4l6ZYl0g,Leonid,22,3.56
NPoMCxJOTIkH71nuR5flRQ,Wellington,760,3.77
SDiKmIRUxKcYioF55RQqjg,Jason,145,3.77
9_dHJM9z0Pn_4W8v6u4fSg,Meena,927,3.8
1bDjt28veqHMfWZhKnC5vw,Lilly,536,3.87
acoVn9Vbp0fnuc3n-1M2EA,King,796,3.7
bKoUydN4IsMWCcrYVwCH1A,Loan,58,3.53
9v83UksZrkThOiE584GRBQ,Oulie,1176,4.14
w5bAI7USuCvyl8kZzj6sQw,Diana,1770,3.91
lsafra7Gn8thEJij8BaxGg,Heidi,108,3.63
s9e8cbUpLK2Ai071GXKtSA,Jeremy,22,4.2
t4WOXuh7u3Y7339nZv99pA,Kevin,342,3.64
F1qR_cbb4vnWKSZa4ugwCw,Jewel,547,3.75
nZB33t0RFtq_jTxJJJ6wfA,Patricia,63,4.1
cF159aEFvFY9Sou84L4lpA,Janine,240,3.99
yZFAlk6UdPqzt-k2laVVaQ,Julie,1284,4.07
jx-Ju34y3HzTQKgVxLv9pQ,Heather,410,3.58
8qtsJtmefjJZIFM6_Ksd7A,Shanna,1159,3.65
79FSS85liZ_sfaAoaws08Q,Mark,519,3.73
igNaD428s_j6XnoNDjgwAw,Serina,261,3.69
tvXdR90XQcQlFj6NPYsYEA,Beth,174,3.44
ETI4KOxJapBqCBCq0BnvrA,Leona,624,3.83
tO3HG9ZPB-kX7UF1KgYWXQ,Dawn,13,3.92
mV8maYKKQOojS-qjDfcEgg,Joel,167,3.88
O9ROnupm7cF2dSVuMxMnVg,Marianne,278,4.09
C0kGy1QWXvOd5gLDp3mMlw,Crystal,310,3.94
kBogzjf4Okfi4_EQUkfZSw,Alison,128,4.06
oB1TReHAj1GnF6KL0yHJ5w,Michael,24,5.0
WKrCRSv5mLAFVPJOJSmfWg,Ellen,377,3.68
UIfrDcxG6JqZKBjOG3xQ-Q,Gina,55,3.89
J-JcdnkWJQYEjWQsG-vheQ,Kevin,6,3.67
O4-yHHUYMYaiOVsgg8ImUw,Roger,20,4.23
QVoOwjH06W-jYMjVh8hwIQ,Bryan,31,3.97
sJtUomssClT750zFXODwZA,Jenny,322,4.31
uKxUtSvo1An9d1xbQOiidA,Loic,322,3.32
